nconst,primaryName,primaryProfession,knownForTitles,popularity,known_for_department,profile_path
nm0263645,Jason Evers,"actor,soundtrack,archive_footage","tt0052646,tt0063035,tt0075857,tt0067065",3.801,Acting,https://image.tmdb.org/t/p/original/jbm0AiJvYowMoaDOEZQCcAoiEOx.jpg
nm0500702,Virginia Leith,"actress,archive_footage,archive_sound","tt0052646,tt0049414,tt0048790,tt0047702",2.572,Acting,https://image.tmdb.org/t/p/original/cMZ7Cqx6wohiKd2cR0VjwXLQIeZ.jpg
nm0200012,Anthony La Penna,"miscellaneous,actor,sound_department","tt0052646,tt0046511,tt0080892,tt0067956",0.645,Acting,https://image.tmdb.org/t/p/original/4uWNXxq3846bUtneOcDA08N6qKD.jpg
nm0483641,Adele Lamont,"actress,archive_footage,archive_sound","tt0052646,tt0053544",0.434,Acting,
nm0561128,Paula Morris,actress,"tt0052646,tt0047012,tt0054793,tt0251300",0.266,Acting,
nm0360516,Marilyn Hanold,"actress,archive_footage","tt0059199,tt0052646,tt0061810,tt0050047",0.651,Acting,https://image.tmdb.org/t/p/original/afXJVfSIlqTzV5fsFuMt8do54PA.jpg
nm0109217,Bruce Brighton,"actor,archive_footage","tt0052646,tt0047763",0.001,Acting,
nm0293291,Arny Freeman,"actor,soundtrack,archive_footage","tt0072228,tt0047763,tt0043231,tt0077031",1.544,Acting,https://image.tmdb.org/t/p/original/rTiBXkTyGjxrrc0hXMd9FFdxTTJ.jpg
nm0001258,James Garner,"actor,producer,director","tt0332280,tt0071042,tt0057115,tt0186566",18.035,Acting,https://image.tmdb.org/t/p/original/hiPky3VwIOAlmPhJwzRovEsGDrI.jpg
nm0000081,Natalie Wood,"actress,music_department,miscellaneous","tt0048545,tt0055614,tt0055471,tt0057263",12.819,Acting,https://image.tmdb.org/t/p/original/6me9oS7GV1VjejWV61XD6y7fVA1.jpg
nm0001225,Nina Foch,"actress,miscellaneous,director","tt0043278,tt0049833,tt0054331,tt0037932",7.924,Acting,https://image.tmdb.org/t/p/original/zkSVQYtUBFKpoBXCyIA0dW8N5Tj.jpg
nm0415591,Dean Jagger,"actor,soundtrack,archive_footage","tt0047673,tt0067927,tt0041996,tt0047849",5.099,Acting,https://image.tmdb.org/t/p/original/fgAzRigYun0yXqIdAYPUA4GViFq.jpg
nm0550855,E.G. Marshall,"actor,writer,producer","tt0050083,tt0066473,tt0097958,tt0081573",6.436,Acting,https://image.tmdb.org/t/p/original/psimeVoRk64DV7UNm4cLQylRFy2.jpg
nm0428216,Henry Jones,"actor,soundtrack,archive_footage","tt0052357,tt0099703,tt0064115,tt0048977",4.805,Acting,https://image.tmdb.org/t/p/original/8rBuIpP5Wlzoh8ow7cp5bOekedU.jpg
nm0472603,Otto Kruger,"actor,soundtrack,archive_footage","tt0035279,tt0044706,tt0037101,tt0037678",6.508,Acting,https://image.tmdb.org/t/p/original/nGSvwcSyD0645Vuv1xTJbzA21aq.jpg
nm0935996,Roland Winters,"actor,writer,archive_footage","tt0040296,tt0054692,tt0039262,tt0040347",1.786,Acting,https://image.tmdb.org/t/p/original/3dZQ2NzZwvgOVODs3WxmqrtfWU3.jpg
nm0686857,Edward Platt,"actor,producer,soundtrack","tt0053125,tt0048545,tt0058805,tt0055824",5.516,Acting,https://image.tmdb.org/t/p/original/uVl1ZzKXkvJSTHVYyfNriMV8BNV.jpg
nm0825264,Edgar Stehli,"actor,archive_footage","tt0046963,tt0052530,tt0054642,tt0051435",2.52,Acting,https://image.tmdb.org/t/p/original/6E5dIhr02ekhtthMmkpcDLTN1tT.jpg
nm0678928,Joseph Pevney,"director,actor,producer","tt0060028,tt0051051,tt0050681,tt0042953",2.097,Directing,https://image.tmdb.org/t/p/original/rKx4Q5T9TYG8UUhy0dn5Fgov0DT.jpg
nm0893341,Lino Ventura,"actor,miscellaneous,soundtrack","tt0064040,tt0051378,tt0069815,tt0084340",6.424,Acting,https://image.tmdb.org/t/p/original/j8D4ox5jSavrB7G8KrlxEIxivEq.jpg
nm0590452,Sandra Milo,"actress,miscellaneous,archive_footage","tt0056801,tt0059229,tt0053570,tt0057664",4.776,Acting,https://image.tmdb.org/t/p/original/uBuFRl43GcQN4qAbeWA9rvkY2Yf.jpg
nm0000901,Jean-Paul Belmondo,"actor,producer,stunts","tt0059592,tt0055082,tt0053472,tt0082949",15.733,Acting,https://image.tmdb.org/t/p/original/hXAM7zTXGWVAv0VLGGrnxAJJbca.jpg
nm0197950,Marcel Dalio,"actor,miscellaneous,writer","tt0047437,tt0031885,tt0037382,tt0060522",6.602,Acting,https://image.tmdb.org/t/p/original/yYZMbAl56e5S7uFbiFbj0YziIDB.jpg
nm0033929,Michel Ardan,"actor,producer,writer","tt0286508,tt0070129,tt0052698,tt0211390",2.269,Acting,https://image.tmdb.org/t/p/original/760YbNY7livHkfvBPDXNubraKBG.jpg
nm0289842,Simone Desmaison,"actress,writer","tt0052136,tt0052698,tt0054259,tt6749528",0.346,Acting,https://image.tmdb.org/t/p/original/sXP5Zl8Vy0c5BqedOH3ZA0P7JIV.jpg
nm0617741,Michèle Méritz,actress,"tt0054949,tt0052698,tt0051404,tt0052708",0.696,Acting,https://image.tmdb.org/t/p/original/gbsdcEHpJpGbCwK43UHvqIYMTLo.jpg
nm0449166,Evelyne Ker,actress,"tt0086650,tt0275822,tt1310577,tt0052698",1.131,Acting,https://image.tmdb.org/t/p/original/q1vVHUETjdxfpOVOGGT0LXUNiop.jpg
nm0773723,Betty Schneider,actress,"tt0054156,tt0052698,tt0050375,tt0050706",1.819,Acting,https://image.tmdb.org/t/p/original/qw4AzLOmiDgS60DnHyMJA1sCR41.jpg
nm0001088,Peter Cushing,"actor,writer,art_department","tt0076759,tt0051554,tt0050280,tt0068713",19.197,Acting,https://image.tmdb.org/t/p/original/if5g03wn6uvHx7F6FxXHLebKc0q.jpg
nm0491928,June Laverick,"actress,soundtrack,archive_footage","tt0051564,tt1682581,tt0166463,tt0051000",1.108,Acting,https://image.tmdb.org/t/p/original/xHwwNsz6nqbF15suq2ohoYmTeks.jpg
nm0000587,Donald Pleasence,"actor,writer,director","tt0082495,tt0077651,tt0062512,tt0057115",12.448,Acting,https://image.tmdb.org/t/p/original/eVJGFCd8ikP6w0XjkuiTbsm65eD.jpg
nm0741394,George Rose,"actor,soundtrack","tt0067482,tt0051994,tt0086112,tt0052811",2.763,Acting,https://image.tmdb.org/t/p/original/fiPzQB4hks9wBJsCdi3ApBP8CoJ.jpg
nm0396881,Renee Houston,"actress,writer,soundtrack","tt0059646,tt0031367,tt0066895,tt0049871",1.168,Acting,https://image.tmdb.org/t/p/original/r3lel2qtJFFFuTQjNp5kub1d9n4.jpg
nm0909614,Dermot Walsh,"actor,archive_footage","tt0179408,tt0039509,tt0044637,tt0044656",3.177,Acting,https://image.tmdb.org/t/p/original/axrMVgWugEMVrJYDFMnkPQx8R91.jpg
nm0925794,Billie Whitelaw,"actress,miscellaneous,soundtrack","tt0075005,tt0425112,tt0099951,tt0083791",2.059,Acting,https://image.tmdb.org/t/p/original/zd72JkqXOcDdgyJ2pybVKZwHnLy.jpg
nm0129055,John Cairney,"actor,writer,archive_footage","tt0057197,tt0056937,tt0051994,tt0209818",0.911,Acting,https://image.tmdb.org/t/p/original/1Pcbw5HYJCgyOZUgg22MqGjbIdV.jpg
nm0371156,Melvyn Hayes,"actor,music_department,miscellaneous","tt0081878,tt0050280,tt0066669,tt0057541",2.996,Acting,https://image.tmdb.org/t/p/original/6crjZTxQ93TjqVmiNTXHCkkuKyU.jpg
nm0694187,June Powell,actress,"tt0052811,tt0046776,tt0247864,tt0046659",0.001,Acting,
nm0000008,Marlon Brando,"actor,director,writer","tt0078788,tt0068646,tt0047296,tt0070849",26.962,Acting,https://image.tmdb.org/t/p/original/fuTEPMsBtV1zE98ujPONbKiYDc2.jpg
nm0940946,Joanne Woodward,"actress,producer,director","tt0063483,tt0051077,tt0068528,tt0100200",7.786,Acting,https://image.tmdb.org/t/p/original/fFghjUcY2f7FKLRXmYUDOG3NhUy.jpg
nm0536167,Anna Magnani,"actress,writer,miscellaneous","tt0038890,tt0048563,tt0064952,tt0040092",7.917,Acting,https://image.tmdb.org/t/p/original/ygpE4VtT0TtrF2mfceJBT8u2Nhh.jpg
nm0822972,Maureen Stapleton,"actress,soundtrack,archive_footage","tt0082979,tt0077742,tt0065377,tt0088933",1.811,Acting,https://image.tmdb.org/t/p/original/rXwg71O6oU6x3sB5c4erlAu7mhy.jpg
nm0430460,Victor Jory,"actor,writer,soundtrack","tt0031381,tt0056241,tt0031839,tt0032557",5.412,Acting,https://image.tmdb.org/t/p/original/q8I6rRvhaUQKf5J0thr4lRMhd85.jpg
nm0035866,R.G. Armstrong,"actor,soundtrack,archive_footage","tt0093773,tt0099422,tt0061619,tt0087050",9.945,Acting,https://image.tmdb.org/t/p/original/5UjO0XPx6zoubmtb8jOUvaCBmiG.jpg
nm0944869,Ben Yaffee,actor,"tt0052832,tt0045401,tt0042142,tt0053534",0.009,Acting,
nm0112928,Joe Brown Jr.,actor,"tt0033940,tt0039505,tt0045449,tt0032595",2.473,Acting,https://image.tmdb.org/t/p/original/9BozzT2Kt3shi5xP8HMLZ8F94M2.jpg
nm0001486,Sidney Lumet,"director,writer,producer","tt0050083,tt0292963,tt0071877,tt0070666",4.714,Directing,https://image.tmdb.org/t/p/original/hjj3V2DkPJ46zo5uz9bsZQzAk6R.jpg
nm0105482,Pierre Brasseur,"actor,writer,miscellaneous","tt0053459,tt0037674,tt0038853,tt0053643",3.287,Acting,https://image.tmdb.org/t/p/original/y9moezayXgiGbJWa9V1tFuljjc8.jpg
nm0885098,Alida Valli,"actress,director,writer","tt0041959,tt0076786,tt0053459,tt0039694",5.101,Acting,https://image.tmdb.org/t/p/original/p6khdh25SqJXp7kleam4a9PHrwb.jpg
nm0562831,Juliette Mayniel,"actress,archive_footage","tt0053459,tt0053996,tt0159684,tt0052708",5.518,Acting,https://image.tmdb.org/t/p/original/4mBE4CNcwrfCwtDmkIhNpexVYV.jpg
nm0726777,Alexandre Rignault,"actor,miscellaneous,soundtrack","tt0053459,tt0025397,tt0024710,tt0143247",3.401,Acting,https://image.tmdb.org/t/p/original/gzGK1SG19jNSGPfgYLsWWP4dgei.jpg
nm0022675,Béatrice Altariba,"actress,archive_footage","tt0053459,tt0161013,tt0050709,tt0122679",2.019,Acting,https://image.tmdb.org/t/p/original/x2hhLG7cvHebScmOXdfNOCxIVAR.jpg
nm0778568,Edith Scob,"actress,archive_footage,archive_sound","tt2076220,tt0237534,tt0053459,tt0836700",2.895,Acting,https://image.tmdb.org/t/p/original/mJqz3YZivskBit9eEXE0JXGNtHz.jpg
nm0105475,Claude Brasseur,"actor,soundtrack,archive_footage","tt0057869,tt0076852,tt0106910,tt0105448",3.427,Acting,https://image.tmdb.org/t/p/original/oegptKdlPbpiDNL89jWUBh8jkDT.jpg
nm0262014,Michel Etcheverry,"actor,miscellaneous,soundtrack","tt0053459,tt0047597,tt1369743,tt0313509",2.121,Acting,https://image.tmdb.org/t/p/original/oQa3SMV2cWKxk60QLgkyLLMv3GJ.jpg
nm0959923,Yvette Etiévant,"actress,archive_footage","tt0053459,tt0063152,tt0070959,tt0042619",1.429,Acting,
nm0290802,Georges Franju,"director,writer,composer","tt0053459,tt0056581,tt0058650,tt0055308",1.974,Directing,https://image.tmdb.org/t/p/original/a1NxZRUpP8Kd40ij8kdrhOsiMMv.jpg
nm0781029,Jean Seberg,"actress,miscellaneous,director","tt0053472,tt0064782,tt0065377,tt0058294",7.247,Acting,https://image.tmdb.org/t/p/original/mNW6MJ5YAiFWAnH9pCmi0PjKXc.jpg
nm0000419,Jean-Luc Godard,"director,writer,editor","tt0057869,tt0056663,tt0058898,tt0059592",12.167,Directing,https://image.tmdb.org/t/p/original/zP5EDY5MstfkdBmPXNCj8Y6v5KR.jpg
nm0049838,Richard Balducci,"writer,miscellaneous,director","tt1742050,tt0055852,tt0226246,tt1082822",0.878,Directing,https://image.tmdb.org/t/p/original/hZYtVCD5uZEGzg8t0NksLDlyV6G.jpg
nm0003606,Philippe de Broca,"director,writer,actor","tt0055832,tt0058203,tt0053964,tt0054621",2.593,Directing,https://image.tmdb.org/t/p/original/78DpaNfRB0kSDVzWeeOxYiYHBjt.jpg
nm0378517,Charles Herbert,"actor,soundtrack,archive_footage","tt0053559,tt0051622,tt0051745,tt0052520",1.643,Acting,https://image.tmdb.org/t/p/original/sAygzGPy4JPLGr5pNwwUY3j4idL.jpg
nm0607507,Jo Morrow,"actress,soundtrack,archive_footage","tt0053559,tt0070782,tt0054152,tt0052847",4.316,Acting,https://image.tmdb.org/t/p/original/oCLt9S4ROqv6nxTZbkwcGLOmnqF.jpg
nm0590398,Martin Milner,"actor,producer,soundtrack","tt0051036,tt0050468,tt0062430,tt0062539",6.275,Acting,https://image.tmdb.org/t/p/original/2sEL4PauMRhLGnOyVwYtw5QP1YL.jpg
nm0213619,Rosemary DeCamp,"actress,soundtrack,archive_footage","tt0047752,tt0043880,tt0036430,tt0053559",4.193,Acting,https://image.tmdb.org/t/p/original/qogZ06A7RZQIqzJaK7Q36EDOQyq.jpg
nm0940579,Donald Woods,"actor,soundtrack,archive_footage","tt0028695,tt0026385,tt0036515,tt0053559",3.564,Acting,https://image.tmdb.org/t/p/original/qgTEj1k6BWRQVzBCan2kxZKsS6D.jpg
nm0002121,Margaret Hamilton,"actress,soundtrack,archive_footage","tt0032138,tt0053559,tt0065492,tt0028356",9.019,Acting,https://image.tmdb.org/t/p/original/e2tJi7ziy5HCNO6pnpAXoxhnlfg.jpg
nm0886657,John Van Dreelen,"actor,miscellaneous,soundtrack","tt0053559,tt0154255,tt0065112,tt0054020",6.072,Acting,
nm0145336,William Castle,"director,producer,production_manager","tt0054988,tt0051744,tt0040525,tt0063522",2.493,Directing,https://image.tmdb.org/t/p/original/wk8uz93tESmaMO6EB08cGizgBkg.jpg
nm0709704,Tony Randall,"actor,soundtrack,archive_footage","tt0065329,tt0053172,tt0099700,tt0055100",4.356,Acting,https://image.tmdb.org/t/p/original/chkOBbF21YeXpV1RCdhHm5gTV7O.jpg
nm0388155,Eddie Hodges,"actor,soundtrack,archive_footage","tt0055728,tt0053571,tt0057542,tt0063231",1.279,Acting,https://image.tmdb.org/t/p/original/rtbbHSBHW6j1LCkETgI5O6I8AYF.jpg
nm0600911,Archie Moore,"actor,soundtrack,archive_footage","tt0053571,tt0060424,tt0071960,tt0057917",2.538,Acting,https://image.tmdb.org/t/p/original/AhVhT7BSPXxfMJAiXDEW9k80LNI.jpg
nm0566478,Patty McCormack,"actress,music_department,producer","tt1560747,tt0078679,tt0870111,tt16030222",7.467,Acting,https://image.tmdb.org/t/p/original/9K1xm1rR34Nh3wg988lMXufsLGK.jpg
nm0104507,Neville Brand,"actor,archive_footage","tt0046359,tt0066473,tt0044789,tt0042369",6.631,Acting,https://image.tmdb.org/t/p/original/ndh2KmCzWtIQ9MQO0xoTOZDCQZk.jpg
nm0789485,Mickey Shaughnessy,"actor,soundtrack,archive_footage","tt0050556,tt0045793,tt0055312,tt0050327",1.674,Acting,https://image.tmdb.org/t/p/original/8u7vZGjE5lDNfVOW2vuEfCvQvNi.jpg
nm0134411,Judy Canova,"actress,soundtrack,archive_footage","tt0034193,tt0037028,tt0035474,tt0034074",1.733,Acting,https://image.tmdb.org/t/p/original/l2JIt5HulXhuROuGUEc1PnZ9L8t.jpg
nm0222596,Andy Devine,"actor,soundtrack,archive_footage","tt0031971,tt0056217,tt0070608,tt0029606",4.848,Acting,https://image.tmdb.org/t/p/original/rBCv7cszfbo2dkQbGxxff9xTppL.jpg
nm0414046,Sherry Jackson,"actress,soundtrack,archive_footage","tt0044905,tt0060028,tt0042281,tt0045410",12.485,Acting,https://image.tmdb.org/t/p/original/8RV7npJ6TbQs6B9WlImiy9OiwyG.jpg
nm0000078,John Wayne,"actor,producer,art_department","tt0065126,tt0056217,tt0075213,tt0053580",28.031,Acting,https://image.tmdb.org/t/p/original/ggHZ8WTKaoD9bGRhmC1FlV9sXwL.jpg
nm0001847,Richard Widmark,"actor,producer,director","tt0039536,tt0053580,tt0071877,tt0055031",6.306,Acting,https://image.tmdb.org/t/p/original/fvR0fQcGTVzmHZUGfPocqT6pRgJ.jpg
nm0002131,Laurence Harvey,"actor,director,producer","tt0056218,tt0053226,tt0056671,tt0056700",3.689,Acting,https://image.tmdb.org/t/p/original/l9iSQUawIByUjpLg5SI03oOpd64.jpg
nm0000811,Frankie Avalon,"actor,producer,soundtrack","tt0077631,tt0059726,tt0058953,tt0112641",2.529,Acting,https://image.tmdb.org/t/p/original/oBn64Yi9BXf0xWsNyPI0m9bEQf9.jpg
nm0915618,Patrick Wayne,"actor,art_department,archive_footage","tt0049730,tt0066831,tt0057298,tt0096487",15.367,Acting,https://image.tmdb.org/t/p/original/u0EjouQWSjqr5npkGW9EXLNNAnC.jpg
nm0188050,Linda Cristal,"actress,archive_footage","tt0061263,tt0071866,tt0052059,tt0052999",11.544,Acting,https://image.tmdb.org/t/p/original/3nlyw5APVkJAeSBtPwu4DUH3xRt.jpg
nm0639613,Joan O'Brien,"actress,soundtrack,archive_footage","tt0053143,tt0053580,tt0057191,tt0057765",3.321,Acting,https://image.tmdb.org/t/p/original/t2k99bcDvoWAKH3cBPzfjcr3EcV.jpg
nm0932629,Chill Wills,"actor,soundtrack,archive_footage","tt0049261,tt0037059,tt0053580,tt0057298",8.562,Acting,https://image.tmdb.org/t/p/original/uk1BljEiYkzSd7ihp7SJIpBVI3u.jpg
nm0130407,Joseph Calleia,"actor,writer,soundtrack","tt0052311,tt0029855,tt0038559,tt0034928",3.024,Acting,https://image.tmdb.org/t/p/original/qLLipHfet9kXRiveOqmimE5SGg1.jpg
nm0193411,Ken Curtis,"actor,producer,soundtrack","tt0047736,tt0049730,tt0052902,tt0070608",7.876,Acting,https://image.tmdb.org/t/p/original/nL4aCX6RJuuw1ML3FGWELXNiCdD.jpg
nm0000493,Jack Lemmon,"actor,producer,director","tt0053604,tt0104348,tt0053291,tt0078966",9.702,Acting,https://image.tmdb.org/t/p/original/7jWVWLr1VJqQrN3d4YJaATCIHRw.jpg
nm0000511,Shirley MacLaine,"actress,writer,producer","tt0086425,tt0053604,tt0098384,tt0048750",19.107,Acting,https://image.tmdb.org/t/p/original/1jvWvxiJHHPjr9OHzAahlKIPYaX.jpg
nm0534045,Fred MacMurray,"actor,producer,soundtrack","tt0036775,tt0053604,tt0046816,tt0057518",12.612,Acting,https://image.tmdb.org/t/p/original/lxxixlFMNH0JuA9K0K3mJmigYcc.jpg
nm0001827,Ray Walston,"actor,soundtrack,archive_footage","tt0081353,tt0083929,tt0070735,tt0064782",10.608,Acting,https://image.tmdb.org/t/p/original/pRVUmhdc9nxflBI5GJvokz0nPPb.jpg
nm0472816,Jack Kruschen,"actor,soundtrack,archive_footage","tt0053604,tt0046534,tt0054016,tt0055100",4.421,Acting,https://image.tmdb.org/t/p/original/3QOPlFyLfFR8cLe0pseRjrm3lra.jpg
nm0507081,David Lewis,"actor,archive_footage","tt0053604,tt0056758,tt0054594,tt0059968",5.034,Acting,https://image.tmdb.org/t/p/original/nwEuF8nyeN7tlHL7GsJuVCOsmI7.jpg
nm0790064,Joan Shawlee,"actress,soundtrack,archive_footage","tt0053291,tt0053604,tt0043142,tt0063231",5.176,Acting,https://image.tmdb.org/t/p/original/oUmK5YF1jcGs5eEGStI1I3iF5vd.jpg
nm0828653,Naomi Stevens,"actress,soundtrack,archive_footage","tt0062430,tt0053604,tt0073092,tt0062767",2.162,Acting,https://image.tmdb.org/t/p/original/zPRZcmEWXVUGLBrfoJRplHZRHFU.jpg
nm0786252,Johnny Seven,"actor,director,producer","tt0053604,tt0052992,tt0131495,tt0072574",5.512,Acting,https://image.tmdb.org/t/p/original/kn6k8OPk4OnAGl2aKp9zOBXfMyw.jpg
nm0000697,Billy Wilder,"writer,director,producer","tt0053604,tt0053291,tt0047437,tt0043014",9.585,Directing,https://image.tmdb.org/t/p/original/tfVte6h2dlLn59Q0Mi6AvWAyRLP.jpg
nm0000072,Elizabeth Taylor,"actress,producer,soundtrack","tt0061184,tt0051459,tt0053318,tt0061407",11.242,Acting,https://image.tmdb.org/t/p/original/5fr81pN0falRGSV8sl3kFhuBFwK.jpg
nm0279472,Eddie Fisher,"actor,soundtrack,archive_footage","tt2402927,tt0049034,tt0084522,tt0087817",1.42,Acting,https://image.tmdb.org/t/p/original/xvposhyDkIvFLBZmkZ80QMQoJTL.jpg
nm0581277,Dina Merrill,"actress,producer,archive_footage","tt0053622,tt0053143,tt0105151,tt0050307",8.61,Acting,https://image.tmdb.org/t/p/original/fcL6rKz4jzOXwZLFKScmjzY9wGD.jpg
nm0242972,Mildred Dunnock,"actress,archive_footage","tt0048750,tt0048973,tt0043458,tt0050839",1.928,Acting,https://image.tmdb.org/t/p/original/7Uz07I2HyDPlJPqq1A0q0Kabq5D.jpg
nm0275897,Betty Field,"actress,soundtrack,archive_footage","tt0031742,tt0048491,tt0033409,tt0050839",2.922,Acting,https://image.tmdb.org/t/p/original/zwKYuyKC45hn1UpMCaYif7KMNHV.jpg
nm0528705,Jeffrey Lynn,"actor,writer,soundtrack","tt0031867,tt0041926,tt0040167,tt0034337",2.345,Acting,https://image.tmdb.org/t/p/original/jqTdvuCs9XaUddsNbdi1S9h5o3D.jpg
nm0575552,Kay Medford,"actress,soundtrack,archive_footage","tt0062994,tt0050371,tt0036407,tt0053622",2.39,Acting,https://image.tmdb.org/t/p/original/fqcy3lgopYD3ni14CZWZY1xBnob.jpg
nm0647010,Susan Oliver,"actress,director,writer","tt0060028,tt0052840,tt0058765,tt0053622",9.257,Acting,https://image.tmdb.org/t/p/original/uPx2QzhtINLg8AoWGCAGdpiVh3S.jpg
nm0903667,George Voskovec,"actor,writer,soundtrack","tt0050083,tt0081534,tt0070212,tt0025248",2.035,Acting,https://image.tmdb.org/t/p/original/nxW7pLtG8xLo4J3QHXzLxt8fd8P.jpg
nm0542702,Daniel Mann,"director,miscellaneous","tt0044509,tt0048563,tt0049830,tt0048191",1.57,Directing,https://image.tmdb.org/t/p/original/A4OucOFjfcSCHnPtbeY4rL9ePGi.jpg
nm0597816,Pierre Mondy,"actor,miscellaneous,director","tt0056268,tt0054761,tt0108835,tt0053638",4.371,Acting,https://image.tmdb.org/t/p/original/xRk7iv46tFfzrawX1hb3TfkT8Mv.jpg
nm0001012,Claudia Cardinale,"actress,soundtrack,archive_footage","tt0064116,tt0056801,tt0057413,tt0054225",14.9,Acting,https://image.tmdb.org/t/p/original/gbTVdZGrOwteJ7qYSzyn8XpUk0H.jpg
nm0001989,Leslie Caron,"actress,miscellaneous,soundtrack","tt0051658,tt0043278,tt0241303,tt0046000",7.631,Acting,https://image.tmdb.org/t/p/original/ziObCBogxL5L1uTpDRUoKyWSOOc.jpg
nm0001120,Vittorio De Sica,"actor,director,writer","tt0040522,tt0045274,tt0047313,tt0043809",4.724,Directing,https://image.tmdb.org/t/p/original/SObzAVAFAzCSM5nmpvpNdX7oxq.jpg
nm0691214,Elvire Popesco,"actress,archive_footage","tt0169789,tt0175492,tt0031010,tt0192037",1.274,Acting,https://image.tmdb.org/t/p/original/797mN0xnRLduGxnZC3AFBJUTM82.jpg
nm0544786,Jean Marais,"actor,stunts,miscellaneous","tt0038348,tt0117737,tt0041719,tt0046415",4.592,Acting,https://image.tmdb.org/t/p/original/68SthRQ494vF0GzXTpXflTCY8LP.jpg
nm0800302,Michel Simon,"actor,writer,director","tt0030643,tt0024844,tt0059825,tt0063771",2.804,Acting,https://image.tmdb.org/t/p/original/vFERO7RMA4B457nqu9hcybSXdGn.jpg
nm0000080,Orson Welles,"actor,writer,director","tt0033467,tt0052311,tt0040525,tt0057427",11.353,Directing,https://image.tmdb.org/t/p/original/e9lGmqQq3EsHeUQgQLByo275hcc.jpg
nm0545352,Georges Marchal,"actor,archive_footage","tt0061395,tt0055564,tt0047567,tt0046461",0.783,Acting,https://image.tmdb.org/t/p/original/n9Ct7fmIFAHRtXaRlrMaECMDF2k.jpg
nm0304098,Abel Gance,"writer,director,editor","tt0014417,tt0025027,tt0018192,tt0066855",2.562,Directing,https://image.tmdb.org/t/p/original/fVtRZuYJkt9YFgK4Y2OnCfGFsAu.jpg
nm0001471,Jerry Lewis,"actor,writer,director","tt0057372,tt0085794,tt0106307,tt0045589",15.614,Acting,https://image.tmdb.org/t/p/original/3TpijSL83yJYvEurLjCnIU44Fr9.jpg
nm0314778,Alex Gerry,"actor,archive_footage","tt0050419,tt0053644,tt0054653,tt0044852",3.571,Acting,https://image.tmdb.org/t/p/original/4QZ2dhwYxtXZ8iEtcCPQUiAKJYs.jpg
nm0165667,Bob Clayton,"actor,archive_footage","tt0133713,tt0053644,tt1577502,tt5706272",0.133,Acting,https://image.tmdb.org/t/p/original/3T2EKtHJAA9WcWAsuMv6Fd8FoSd.jpg
nm0762370,Sonnie Sands,actor,"tt0053644,tt0072210,tt0055682,tt0195466",0.02,Acting,https://image.tmdb.org/t/p/original/rrz3WUlrd47ItaT7OIST6IRj7va.jpg
nm0836559,Herkie Styles,actor,"tt0053644,tt0054552,tt0062570,tt0057729",0.606,Acting,https://image.tmdb.org/t/p/original/1t8s3j4huQdkJ4MPPV8hytYxg1P.jpg
nm0078962,Larry Best,actor,"tt0053644,tt0058826,tt0075549,tt1085422",0.328,Acting,
nm0001509,Dean Martin,"music_artist,actor,producer","tt0058797,tt0060980,tt0060728,tt0053221",13.631,Acting,https://image.tmdb.org/t/p/original/qm3gMp8YowCGkugiiqtBt1EQHiJ.jpg
nm0289376,Eddie Foy Jr.,"actor,writer,soundtrack","tt0035575,tt0031908,tt0032820,tt2283128",1.966,Acting,https://image.tmdb.org/t/p/original/iceOurUhUhToPXhjWBLv5rwZdMB.jpg
nm0822958,Jean Stapleton,"actress,soundtrack,archive_footage","tt0066626,tt0117038,tt0067309,tt0062425",5.321,Acting,https://image.tmdb.org/t/p/original/3d3PR4eUKMqtzccqJFJjj5Ceqqr.jpg
nm0832495,Ruth Storey,"actress,soundtrack","tt0061809,tt0053645,tt0045564,tt0052442",1.262,Acting,
nm0163888,Dort Clark,"actor,soundtrack","tt0068555,tt0053645,tt0289629,tt0057770",1.199,Acting,https://image.tmdb.org/t/p/original/ryRsUzBie08kSBwQ1TiFFV1yvEp.jpg
nm0331319,Frank Gorshin,"actor,director,writer","tt0114746,tt0060153,tt0053645,tt0059793",4.301,Acting,https://image.tmdb.org/t/p/original/lGRDnt0HlOI3BGOLD5mFUwNi6QI.jpg
nm0731501,Ralph Roberts,actor,"tt0048254,tt0055657,tt0053645,tt0057112",0.339,Acting,
nm0021134,Valerie Allen,"actress,producer","tt0053645,tt0052501,tt0057496,tt0053172",0.803,Acting,https://image.tmdb.org/t/p/original/bHOxSl72uroKMlDpQnzxqxJZC8V.jpg
nm0591486,Vincente Minnelli,"director,miscellaneous,music_department","tt0043278,tt0051658,tt0039116,tt0037059",3.065,Directing,https://image.tmdb.org/t/p/original/fmlq7RMQdWsrPBAskIezf22e8Mv.jpg
nm0164967,Robert Clarke,"actor,producer,director","tt0052888,tt0053651,tt0043778,tt0050143",2.708,Acting,https://image.tmdb.org/t/p/original/9xnaWYIQUKdgFVrn76yeIg0H0RG.jpg
nm0866995,Darlene Tompkins,"actress,miscellaneous","tt0053651,tt0054692,tt0047708,tt0051311",1.2,Acting,https://image.tmdb.org/t/p/original/e6y0rUmZHGV3HA8tOrFkMy1d2Cg.jpg
nm0033962,Arianne Ulmer,"actress,miscellaneous,producer","tt0053651,tt0032201,tt0047756,tt0144415",0.337,Acting,
