nconst,primaryName,primaryProfession,knownForTitles,popularity,known_for_department,profile_path
nm0517506,Annie Ross,"actress,music_department,miscellaneous","tt0108122,tt0086393,tt0094142,tt0100436",2.257,Acting,https://image.tmdb.org/t/p/original/y2rMACd935o8jieNxoOqxpDxhb1.jpg
nm0641398,Gavan O'Herlihy,"actor,soundtrack,archive_footage","tt1073105,tt0096446,tt0086006,tt0086393",5.37,Acting,https://image.tmdb.org/t/p/original/eMSGX3288RWuxTaENQRg8NBXmb9.jpg
nm0896912,Kristen Vigard,"actress,art_department,soundtrack","tt0086397,tt0112697,tt0044265,tt0088478",0.607,Acting,https://image.tmdb.org/t/p/original/bQYA9qZnS6EOF47kapX5b7fHCkQ.jpg
nm0685771,Anne Pitoniak,"actress,soundtrack","tt0250797,tt0086397,tt0093186,tt0084969",1.159,Acting,https://image.tmdb.org/t/p/original/xlKHdNrBCfCL7xJtmjFkWtoibkm.jpg
nm0354158,Marian Hailey,actress,"tt0086397,tt0068680,tt0066016,tt0064510",0.862,Acting,https://image.tmdb.org/t/p/original/6BkiNcCU7z1jJKuzRRw2xLItSn4.jpg
nm0814718,Agnès Soral,"actress,director,producer","tt27495619,tt0086420,tt0167644,tt0076849",2.166,Acting,https://image.tmdb.org/t/p/original/a1OXVANx9JpSiMGopdMHadxPGbv.jpg
nm0954786,Mahmoud Zemmouri,"actor,director,writer","tt0081369,tt0156245,tt0408306,tt3669780",0.645,Directing,https://image.tmdb.org/t/p/original/avBynS03GoN3eHoYNzymjUFBPJ5.jpg
nm0902188,Lenny von Dohlen,"actor,archive_footage","tt0105665,tt0119303,tt0780622,tt0087197",4.45,Acting,https://image.tmdb.org/t/p/original/yZfisRYu3aEDRa0AaEIjMhkmW8w.jpg
nm0000915,Bruce Beresford,"director,producer,writer","tt0097239,tt0080310,tt0091081,tt4196848",1.944,Directing,https://image.tmdb.org/t/p/original/p5p1YhKTh1EOSvf1NO96oBQI2Ll.jpg
nm0001099,Jeff Daniels,"actor,producer,writer","tt0367089,tt0099052,tt0089853,tt0109686",10.732,Acting,https://image.tmdb.org/t/p/original/cMQb76YP0BcO9xzHUwz4yCIK8GO.jpg
nm0289030,Huckleberry Fox,actor,"tt0086425,tt0087730,tt0167240,tt0086886",5.188,Acting,
nm0003609,Troy Bishop,"actor,miscellaneous","tt0117571,tt0086425,tt0426905,tt0065272",1.307,Acting,
nm0365283,Rossie Harris,"actor,director,writer","tt0080339,tt0086429,tt0078622,tt0086805",1.287,Acting,
nm0952365,Roxana Zal,"actress,producer","tt0086429,tt0091860,tt0078622,tt0149964",4.913,Acting,https://image.tmdb.org/t/p/original/vO1ZAdwQ5ihzTEAwbLzMQd3cCGE.jpg
nm0001305,Lukas Haas,"actor,music_department,soundtrack","tt1375666,tt0090329,tt0116996,tt0095484",11.736,Acting,https://image.tmdb.org/t/p/original/6LNGu3o2aBiYNTDkbXMDIGyQtBh.jpg
nm0001911,Philip Anglim,"actor,archive_footage","tt0095280,tt0085101,tt0106145,tt0166593",1.871,Acting,https://image.tmdb.org/t/p/original/hL0yjYYvXQqEVr4nBwAi7YCk6ym.jpg
nm0003313,Lynne Littman,"director,producer,writer","tt0086429,tt0074987,tt0158672,tt0196603",1.112,Directing,https://image.tmdb.org/t/p/original/3Gl58PuTzANClUqljA5DaTKckI0.jpg
nm0213100,William Dear,"director,writer,actor","tt0093148,tt0102803,tt0086443,tt0109127",2.1,Directing,https://image.tmdb.org/t/p/original/zd7BF2zZTarjru9K4Rwgw6CMFZW.jpg
nm0001690,Jennifer Runyon,"actress,producer,soundtrack","tt0087332,tt0096376,tt0088333,tt0095362",5.249,Acting,https://image.tmdb.org/t/p/original/1j0Vt7pUROiNvI4ga0KfsNQnlWc.jpg
nm0118089,West Buchanan,"actor,stunts","tt0149677,tt0086449,tt0073131,tt0090411",3.02,Acting,https://image.tmdb.org/t/p/original/cN67O2t8oRzPOEzFzO7HJ0m1fpx.jpg
nm0787910,Sam Shamshak,actor,"tt0118798,tt0099462,tt0111825,tt0077003",2.598,Acting,
nm0334283,Ronny Graham,"miscellaneous,actor,writer","tt0094012,tt0082517,tt0086450,tt0107977",2.122,Acting,https://image.tmdb.org/t/p/original/tMMiUpC8QKFXZcdWtWpggjxA8B3.jpg
nm0000747,Don Ameche,"actor,director,soundtrack","tt0088933,tt0035979,tt0086465,tt0107131",10.663,Acting,https://image.tmdb.org/t/p/original/p2Q0LE3SECDvb5W2yAvvfRtzIyo.jpg
